 A16905_26L_model                                                                 REF PER =   1.0 SECS


  LEVEL    RADIUS        RHO         VPV         VPH         VSV         VSH         ETA         QMU         QKAP

     1         0.0    13088.50    11262.20    11262.20     3667.80     3667.80     1.00000       84.60     1327.70
     2      8105.0    13088.49    11262.19    11262.19     3667.79     3667.79     1.00000       84.60     1327.70
     3     22776.0    13088.39    11262.12    11262.12     3667.74     3667.74     1.00000       84.60     1327.70
     4     37447.0    13088.19    11261.98    11261.98     3667.65     3667.65     1.00000       84.60     1327.70
     5     52117.0    13087.91    11261.77    11261.77     3667.50     3667.50     1.00000       84.60     1327.70
     6     66786.0    13087.53    11261.50    11261.50     3667.31     3667.31     1.00000       84.60     1327.70
     7     81454.0    13087.06    11261.16    11261.16     3667.07     3667.07     1.00000       84.60     1327.70
     8     96122.0    13086.49    11260.75    11260.75     3666.79     3666.79     1.00000       84.60     1327.70
     9    110787.0    13085.83    11260.28    11260.28     3666.46     3666.46     1.00000       84.60     1327.70
    10    125452.0    13085.07    11259.73    11259.73     3666.08     3666.08     1.00000       84.60     1327.70
    11    140114.0    13084.23    11259.12    11259.12     3665.65     3665.65     1.00000       84.60     1327.70
    12    154775.0    13083.28    11258.44    11258.44     3665.18     3665.18     1.00000       84.60     1327.70
    13    169434.0    13082.25    11257.70    11257.70     3664.65     3664.65     1.00000       84.60     1327.70
    14    184090.0    13081.12    11256.89    11256.89     3664.09     3664.09     1.00000       84.60     1327.70
    15    198744.0    13079.90    11256.01    11256.01     3663.47     3663.47     1.00000       84.60     1327.70
    16    213395.0    13078.58    11255.06    11255.06     3662.81     3662.81     1.00000       84.60     1327.70
    17    228044.0    13077.18    11254.05    11254.05     3662.10     3662.10     1.00000       84.60     1327.70
    18    242689.0    13075.68    11252.97    11252.97     3661.35     3661.35     1.00000       84.60     1327.70
    19    257331.0    13074.08    11251.82    11251.82     3660.54     3660.54     1.00000       84.60     1327.70
    20    271970.0    13072.39    11250.60    11250.60     3659.70     3659.70     1.00000       84.60     1327.70
    21    286605.0    13070.61    11249.32    11249.32     3658.80     3658.80     1.00000       84.60     1327.70
    22    301237.0    13068.74    11247.97    11247.97     3657.86     3657.86     1.00000       84.60     1327.70
    23    315864.0    13066.78    11246.56    11246.56     3656.87     3656.87     1.00000       84.60     1327.70
    24    330487.0    13064.72    11245.08    11245.08     3655.83     3655.83     1.00000       84.60     1327.70
    25    345106.0    13062.57    11243.53    11243.53     3654.75     3654.75     1.00000       84.60     1327.70
    26    359721.0    13060.32    11241.91    11241.91     3653.62     3653.62     1.00000       84.60     1327.70
    27    374331.0    13057.99    11240.23    11240.23     3652.45     3652.45     1.00000       84.60     1327.70
    28    388936.0    13055.56    11238.48    11238.48     3651.22     3651.22     1.00000       84.60     1327.70
    29    403535.0    13053.04    11236.67    11236.67     3649.96     3649.96     1.00000       84.60     1327.70
    30    418130.0    13050.43    11234.79    11234.79     3648.64     3648.64     1.00000       84.60     1327.70
    31    432719.0    13047.73    11232.84    11232.84     3647.28     3647.28     1.00000       84.60     1327.70
    32    447303.0    13044.93    11230.83    11230.83     3645.88     3645.88     1.00000       84.60     1327.70
    33    461880.0    13042.05    11228.75    11228.75     3644.42     3644.42     1.00000       84.60     1327.70
    34    476452.0    13039.07    11226.61    11226.61     3642.93     3642.93     1.00000       84.60     1327.70
    35    491017.0    13036.00    11224.40    11224.40     3641.38     3641.38     1.00000       84.60     1327.70
    36    505577.0    13032.84    11222.12    11222.12     3639.79     3639.79     1.00000       84.60     1327.70
    37    520129.0    13029.59    11219.78    11219.78     3638.16     3638.16     1.00000       84.60     1327.70
    38    534675.0    13026.25    11217.38    11217.38     3636.48     3636.48     1.00000       84.60     1327.70
    39    549214.0    13022.82    11214.91    11214.91     3634.75     3634.75     1.00000       84.60     1327.70
    40    563746.0    13019.30    11212.37    11212.37     3632.98     3632.98     1.00000       84.60     1327.70
    41    578271.0    13015.69    11209.77    11209.77     3631.16     3631.16     1.00000       84.60     1327.70
    42    592788.0    13011.99    11207.10    11207.10     3629.30     3629.30     1.00000       84.60     1327.70
    43    607297.0    13008.19    11204.37    11204.37     3627.39     3627.39     1.00000       84.60     1327.70
    44    621799.0    13004.31    11201.58    11201.58     3625.44     3625.44     1.00000       84.60     1327.70
    45    636293.0    13000.34    11198.72    11198.72     3623.44     3623.44     1.00000       84.60     1327.70
    46    650779.0    12996.28    11195.80    11195.80     3621.39     3621.39     1.00000       84.60     1327.70
    47    665256.0    12992.13    11192.81    11192.81     3619.31     3619.31     1.00000       84.60     1327.70
    48    679724.0    12987.90    11189.76    11189.76     3617.17     3617.17     1.00000       84.60     1327.70
    49    694184.0    12983.57    11186.64    11186.64     3615.00     3615.00     1.00000       84.60     1327.70
    50    708636.0    12979.16    11183.47    11183.47     3612.78     3612.78     1.00000       84.60     1327.70
    51    723078.0    12974.66    11180.22    11180.22     3610.51     3610.51     1.00000       84.60     1327.70
    52    737510.0    12970.07    11176.92    11176.92     3608.20     3608.20     1.00000       84.60     1327.70
    53    751934.0    12965.39    11173.55    11173.55     3605.85     3605.85     1.00000       84.60     1327.70
    54    766348.0    12960.62    11170.12    11170.12     3603.45     3603.45     1.00000       84.60     1327.70
    55    780752.0    12955.77    11166.63    11166.63     3601.01     3601.01     1.00000       84.60     1327.70
    56    795146.0    12950.83    11163.07    11163.07     3598.52     3598.52     1.00000       84.60     1327.70
    57    809530.0    12945.80    11159.45    11159.45     3595.99     3595.99     1.00000       84.60     1327.70
    58    823903.0    12940.69    11155.77    11155.77     3593.42     3593.42     1.00000       84.60     1327.70
    59    838267.0    12935.49    11152.03    11152.03     3590.80     3590.80     1.00000       84.60     1327.70
    60    852619.0    12930.21    11148.22    11148.22     3588.15     3588.15     1.00000       84.60     1327.70
    61    866961.0    12924.84    11144.35    11144.35     3585.44     3585.44     1.00000       84.60     1327.70
    62    881292.0    12919.38    11140.43    11140.43     3582.70     3582.70     1.00000       84.60     1327.70
    63    895611.0    12913.84    11136.44    11136.44     3579.91     3579.91     1.00000       84.60     1327.70
    64    909920.0    12908.22    11132.39    11132.39     3577.08     3577.08     1.00000       84.60     1327.70
    65    924217.0    12902.51    11128.27    11128.27     3574.21     3574.21     1.00000       84.60     1327.70
    66    938502.0    12896.72    11124.10    11124.10     3571.29     3571.29     1.00000       84.60     1327.70
    67    952775.0    12890.84    11119.87    11119.87     3568.33     3568.33     1.00000       84.60     1327.70
    68    967036.0    12884.88    11115.58    11115.58     3565.33     3565.33     1.00000       84.60     1327.70
    69    981285.0    12878.83    11111.22    11111.22     3562.29     3562.29     1.00000       84.60     1327.70
    70    995522.0    12872.70    11106.81    11106.81     3559.21     3559.21     1.00000       84.60     1327.70
    71   1009747.0    12866.49    11102.34    11102.34     3556.08     3556.08     1.00000       84.60     1327.70
    72   1023958.0    12860.20    11097.81    11097.81     3552.91     3552.91     1.00000       84.60     1327.70
    73   1038157.0    12853.82    11093.22    11093.22     3549.71     3549.71     1.00000       84.60     1327.70
    74   1052343.0    12847.37    11088.57    11088.57     3546.46     3546.46     1.00000       84.60     1327.70
    75   1066516.0    12840.83    11083.86    11083.86     3543.17     3543.17     1.00000       84.60     1327.70
    76   1080675.0    12834.21    11079.09    11079.09     3539.84     3539.84     1.00000       84.60     1327.70
    77   1094821.0    12827.51    11074.27    11074.27     3536.46     3536.46     1.00000       84.60     1327.70
